company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
AADHITH FASHIONS,,"India (IN), Tamil Nadu","Babywear, Ladieswear, Men's wear, Garments",,mailto:ram@aadhithfashions.in,"NO.219-A, RAMABIRAN COLONY DHARAPURAM ROAD, TIRUPUR, 641604",15878,,IDFL,5/2/2024,"Men's Apparel (PC0001) T-shirts (PD0007) Organic Cotton (RM0104) GOTS
(Organic)
57825
Women's Apparel
(PC0002)
T-shirts (PD0007) Organic Cotton (RM0104) GOTS
(Organic)
57825
Unisex Apparel
(PC0005)
T-shirts (PD0007) Organic Cotton (RM0104) GOTS
(Organic)
57825
Babies' Apparel
(PC0003)
Babies' clothing (PD0013) Organic Cotton (RM0104) GOTS
(Organic)
57825
Babies' Apparel
(PC0003)
Babies' Accessories
(PD0014)
Organic Cotton (RM0104) GOTS
(Organic)
57825"
AADHYA TRADELINKS,,"India (IN), Gujarat","Raw Fibres, Yarns",,,"DHASA, MAON ROAD, DHASA JUNCTION, DHASA, DHASA, Botad, 364141, Gujarat",GOTS-20200633,,GSCS,5/31/2024,"Carded yarns (PD0067) 
 Lint cotton (PD0074)"
Aadi Sustainability Solutions Pvt. Ltd.,,"India (IN), Haryana",Yarns,,,"Near Sir Choturam School, Vikas Nagar, Vill. Nangal Kheri, 132103, Panipat,",235722,,Intertek Testing Services,1/15/2025,
Aakarsh Exports,,"India (IN), Uttar Pradesh","Ladieswear, Fabrics",,mailto:ajay@aakarshexports.com,"A-23, Sector - 63, Gautam Budh Nagar, Noida, 201301",16454,,IDFL,5/4/2024,
AALAYA DYEING MILLS,,"India (IN), Tamil Nadu",Fabrics,,,"9/252 A, PALLADAM ROAD, KARAIPUDUR, 41605, Tiruppur, 6",235031,,Intertek Testing Services,1/1/2025,
Aalishan Exports,,"India (IN), Tamil Nadu","Accessories, Babywear, Ladieswear, Children's wear, Fabrics, Men's wear, Home Textiles, Toys",,,"2E, Bharathi Nagar,, 639002, Karur",GCL-301612,,GCL International,3/2/2024,"Cushions (PD0023) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Bed linenPouches (PD0024) 100% Organic Cotton (RM0104) 
Worn Accessories (PC0012) HatsTotesUndyed fabrics (PC0027) Woven Fabrics (PD0059) 100% Organic cotton (RM0104) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104) 
Printed fabrics (PC0039) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104) 
Printed fabrics (PC0039) Woven fabrics (Cut panels) (PD0059) 100% Organic Cotton (RM0104) 
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104) 
Printed fabrics (PC0039) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Printed fabrics (PC0039) Knitted fabrics (Cut panels) (PD0058) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Blanketsbed sheets (PD0015) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Table linenbedspreadsblinds (PD0020) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Pillowsblouses (PD0005) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) T shirtscapshand covering (PD0026) 100% Organic Cotton (RM0104) 
Worn Accessories (PC0012) Aprons (PD0100) 100% Organic Cotton (RM0104) 
Worn Accessories (PC0012) Handkerchiefs (PD0029) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Suitshandbagshandbagshead coverings (PD0030) 100% Organic Cotton (RM0104) 
Worn Accessories (PC0012) Scarvesjacketsjacketskitchen linenmittensnapkins (PD0016) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Towelspouches (PD0024) 100% Organic Cotton (RM0104) 
Outdoor (PC0018) Sleeping Bags (PD0044) 100% Organic Cotton (RM0104) 
Toys (PC0024) Soft toys (PD0056) 100% Organic Cotton (RM0104)quilts (PD0019) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Curtainsshawlssinglets (PD0007) 100% Organic Cotton (RM0104)
Outdoor (PC0018) Bagssinglets (PD0007) 100% Organic Cotton (RM0104)
Women's Apparel (PC0002) Dressesskirts (PD0011) 100% Organic Cotton (RM0104) 
Babies Apparel (PC0003) Babies' clothing (PD0013) 100% Organic Cotton (RM0104) 
Babies Apparel (PC0003) Babies' accessories (PD0014) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Overcoatsskirts (PD0011) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Suitssuit & pants (PD0002) 100% Organic Cotton (RM0104)
Men's Apparel (PC0001) Pantssuit & pants (PD0002) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Overcoatssuit & pants (PD0002) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pantstableclothtoilet linen (PD0017) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Coasters (PD0100) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Mats (PD0100) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Christmas Stocking (PD0100) 100% Organic Cotton (RM0104)
Carried Accessories (PC0011) Bagstotestrousers (PD0003) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Dressestrousers (PD0003) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) T shirtsveils (PD0028) 100% Organic Cotton (RM0104) 
Worn Accessories (PC0012) Glovesvests (PD0001) 100% Organic Cotton (RM0104)
Men's Apparel (PC0001) Suitsvests (PD0001) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) Pants"
Aan Clothings LLP,,"India (IN), Haryana","Home Textiles, Product category (other)",,,"Plot 9, Sector 34, Gurgaon, Haryana, 122001, Gurgaon",153266,,Intertek Testing Services,4/9/2024,"CarpetsTable linenbedspreadsbedspreads quilts
Other (Duvet Covers)
Carpetsblinds
Other (Placemat)
Other  (Runner)
Blanketsblinds
Pillowscushions
Other  (Wall Hanging)
Other  (Sham)
Curtainscushions
Other (Basket)
Blanketsfloor coveringsfloor coverings 
Other  (Apron)
Other (Bathmat)
Other (Poufs)
Other  (Chair pad)
Pillowskitchen linenrugsrugstablecloth napkins
Towelstoilet linen 
Curtains"
Aara Tex,,"India (IN), Tamil Nadu","Babywear, Children's wear, Ladieswear, Men's wear",R. Nandakumar,mailto:nandu@aaratex.com,"S.F.No.358/1 & 367, Sri Krishna Nagar Main Road,Opp.Vivekananda School, Dharapuram Road, 641 608, Tirupur",ICEA-TX-929,,ICEA Istituto per la Certificazione Etica e Ambientale,5/24/2024,"Babies' apparel (PC0003)Children's apparel (PC0004)Children's apparel (PC0004)Men's apparel
(PC0001)Women's apparel (PC0002)"
Aarnav Fashions Ltd.,,"India (IN), Gujarat",Fabrics,,,"Survey No. 302, Narol Vatva Road Narol Ahmedabad Ahmedabad, 382405",10679,,IDFL,9/15/2024,
Aaron Denim Limited,,"Bangladesh (BD), Dhaka",Fabrics,,,"Sukran, Mirzanagar, Ashulia, Savar, 1344, Dhaka",USB 002105,,USB Certification,7/18/2024,"Denim fabrics (PD0061) - 100% organic cotton (RM0104)
Denim fabrics (PD0061) - 99% organic cotton (RM0104) + 1% elastane (RM0160)
Denim fabrics (PD0061) - 98% organic cotton (RM0104) + 2% elastane (RM0160)
Denim fabrics (PD0061) - 95% organic cotton (RM0104) + 5% elastane (RM0160)
Denim fabrics (PD0061) - 97% organic cotton (RM0104) + 3% viscose (rayon) (RM0238)
Denim fabrics (PD0061) - 90% organic cotton (RM0104) + 8% recycled pre/post-consumer polyester (RM0187) + 2% elastane (RM0160)
Denim fabrics (PD0061) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Denim fabrics (PD0061) - 90% organic cotton (RM0104) + 10% elastane (RM0160)
Denim fabrics (PD0061) - 84% organic cotton (RM0104) + 14% recycled pre/post-consumer polyester (RM0187) + 2% elastane (RM0160)
Denim fabrics (PD0061) - 77% organic cotton (RM0104) + 21% recycled pre/post-consumer polyester (RM0187) + 2% elastane (RM0160)
Denim fabrics (PD0061) - 75% organic cotton (RM0104) + 24% recycled pre/post-consumer polyester (RM0187) + 1% elastane (spandex) (RM0160)
Denim fabrics (PD0061) - 72% organic cotton (RM0104) + 27% recycled pre/post-consumer polyester (RM0187) + 1% elastane (RM0160)
Denim fabrics (PD0061) - 70% organic cotton (RM0104) + 30% recycled pre/post-consumer polyester (RM0187)
Denim fabrics (PD0061) - 70% organic cotton (RM0104) + 28% recycled pre/post-consumer polyester (RM0187) + 2% elastane (spandex) (RM0160)
Denim fabrics (PD0061) - 97% organic cotton (RM0104) + 3% elastane (RM0160)
Denim fabrics (PD0061) - 73% organic cotton (RM0104) + 18% recycled pre/post-consumer polyester (RM0187) + 7% viscose (rayon) (RM0238) + 2% elastane (RM0160)
Denim fabrics (PD0061) - 79% organic cotton (RM0104) + 20% recycled pre/post-consumer polyester (RM0187) + 1% elastane (RM0160)"
AARTHI A1 HOME TRENDS (P) LTD,,"India (IN), Tamil Nadu","Babywear, Fabrics, Yarns, Accessories, Home Textiles, Product category (other)",B. Sivachandran B. Sivachandran,mailto:saminathan@aarthia1traders.com,"50 feet road, 9D/ 14 Ramakrishnapuram,, 639001, KARUR",155769,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/25764?task=download_certificate,Ecocert Greenlife,12/31/2024,Babies apparel (PC0003)Bedding (PC0015)Carried accessories (PC0011)Dyed fabrics (PC0025)Dyed yarns (PC0029)Home textiles (PC0010)Worn accessories (PC0012)
AARTHIA IMPEX,,"India (IN), Tamil Nadu","Babywear, Fabrics, Home Textiles, Yarns",,mailto:naveen@aarthiaimpex.com,"S.F.NO.411 412, Door No./Plot No.: 13D, Vivekanantha Nagar,, SENGUNTHAPURAM, 11TH CROSS, 639002, KARUR,",203746,,Intertek Testing Services,3/29/2024,"Babies' apparel | PC0003
Home textiles | PC0010
Carried accessories | PC0011
Worn accessories | PC0012
Outdoor | PC0018
Dyed fabrics | PC0025
Greige fabrics | PC0026
Greige yarns | PC0030"
AARTI INTERNATIONAL LIMITED,,"India (IN), Punjab",Fabrics,,,"Aarti Complex, G.T.Road, Millerganj 141003 Ludhiana",GOTS-BVIN0043,,Bureau Veritas,5/8/2024,
Aarti Yarnfab Private Limited,,"India (IN), Haryana",Yarns,Mr. Sudhir Gupta,mailto:sudhir@aartiyarnfab.com,"Alipur Road, Kohand, Gharaunda, Karnal, 132114, 132114, Gharaunda",CU 1129074,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/39301?task=download_certificate,Control Union Certifications,11/2/2024,Greige yarns (PC0030) Carded yarns (PD0067) -100.0% Organic Cotton (RM0104)
Aarupadai Exports,,"India (IN), Tamil Nadu","Accessories, Fabrics, Men's wear, Home Textiles",,,"156, 156/1, Covai Road, North Ramanuja Nagar, Karur, 639002",17953,,IDFL,7/13/2024,
AASEERVAA FABRICS,,"India (IN), Tamil Nadu","Accessories, Babywear, Home Textiles",,,"4/105, Anna Nagar, Konthalam Post, Paramathy, 637208, Velur,",225949,,Intertek Testing Services,6/30/2024,"Worn accessories | PC0012
Outdoor | PC0018
Carried accessories | PC0011
Hard goods | PC0022
Home textiles | PC0010
Babies' apparel | PC0003"
Aathira Traders,,"India (IN), Tamil Nadu","Fabrics, Yarns, Home Textiles, Product category (other)",,,"S.F.No.177/2 - C, Plot No.20, Karur-Salem Bye-Pass Road, Manmangalam, Karur, 639006, Tamil Nadu",157924,,Intertek Testing Services,4/4/2024,"Towelsbed sheets
Glovesbedspreadsblinds
Bed linencamping goods
Bagscushions
Curtainsfloor coverings
Normally combed yarns
Table linenhand covering
Carded yarns
Other (Aprons)
Carpetshandbagskitchen linenmittensnapkins
Tentspouchesquilts
Woven fabrics
Pillowsrugssailstableclothtoilet linen
Blanketstotes"
AATREYA EXPORT,,"India (IN), Tamil Nadu","Accessories, Fabrics, Home Textiles",,mailto:kmrameshragavan@gmail.com,"277/7, THARANI GARDEN, PREM NAGAR KATHAPARAI, KARUR, 639006",17092,,IDFL,6/22/2024,"Home Textiles (PC0010) Bed Sheets (PD0015) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Curtains (PD0020) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Bed Linen (PD0015) (Fabric) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Napkins (PD0016) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Towels (PD0017) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Table Linen (PD0016) Organic Cotton (RM0104) GOTS
(Organic)

Home Textiles (PC0010) Kitchen linen (PD0017) Organic Cotton (RM0104) GOTS
(Organic)

Carried Accessories
(PC0011)
Bags (PD0024) Organic Cotton (RM0104) GOTS
(Organic)

Carried Accessories
(PC0011)
Handbags (PD0024) Organic Cotton (RM0104) GOTS
(Organic)

Carried Accessories
(PC0011)
Totes (PD0024) Organic Cotton (RM0104) GOTS
(Organic)

Carried Accessories
(PC0011)
Pouches (PD0024) Organic Cotton (RM0104) GOTS
(Organic)

Greige Fabrics (PC0026) Woven Fabrics
(PD0059)
Organic Cotton (RM0104) GOTS
(Organic)"
Aauraa home fashion pvt ltd,,"India (IN), Tamil Nadu",Product category (other),Harimenan M,mailto:aauraa4@aauraainternational.co.in,"NO.1, S F - 116/3, Muthusolipalayam, Pavithiram, Anjal, 639002, Karur",ICEA-TX-3160,,ICEA Istituto per la Certificazione Etica e Ambientale,5/4/2024,Bedding (PC0015)Carried accessories (PC0011)Home textiles (PC0010)
AAVESH CLOTHING,,"India (IN), Tamil Nadu","Babywear, Ladieswear, Children's wear, Men's wear",MR.AAVESH GOENKA,mailto:avesh@aveshintl.com,"TIRUPUR 641602 Tamil Nadu INDIA, NO.3, MARUTHACHALAPURAM NORTH, KOTTAI THOTTAM, 641602, INDIA",279897,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42014?task=download_certificate,Ecocert Greenlife,6/7/2024,Babies apparel (PC0003)Children apparel (PC0004)Men apparel (PC0001)Women apparel (PC0002)
Aayush Spintex Private Limited,,"India (IN), Madhya Pradesh",Product category (other),Mr. R S Thakur,mailto:sktextiles131@gmail.com,"Gram Limbodagari, 392/, 392/2, Sanwer Road,, 452015, Indore",CU 1023946,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/31874?task=download_certificate,Control Union Certifications,1/10/2025,Undyed fibers (PC0034) Comber noil (PD0082)- 100.0% Organic Cotton (RM0104)
AB Apparels Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Men's wear, Product category (other)",,,"225/222 Singair Road, Hemayetpur, Savar, 1340, Dhaka, BD-C, Bangladesh, BD, 1340, Dhaka",GOTS-20200483,,GSCS,8/31/2024,ActivewearBabies' clothing (PD0013)DressesOvercoatsPantsShirtsT-shirtsUndergarmentblouses (PD0005)jacketsrobes (PD0006)singlets (PD0007)skirts (PD0011)sleepwearsportswear (PD0008)trousers (PD0003)vests (PD0001)
AB Cotspin India Limited,,"India (IN), Punjab","Fabrics, Yarns, Product category (other)",Mr. Deepak Garg,mailto:info@abcotspin.in,"Bhatinda Road, Jaitu, 151202, Faridkot",CU 1010809,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27788?task=download_certificate,Control Union Certifications,5/5/2024,"Greige fabrics (PC0026) Knitted fabrics (PD0058) -100.0% Organic Cotton (RM0104)
Greige yarns (PC0030) Carded yarns (PD0067) -100.0% Organic Cotton (RM0104)
Greige yarns (PC0030) Normally combed yarns (PD0102) -100.0% Organic Cotton (RM0104)
Undyed fibers (PC0034) Comber noil (PD0082) -100.0% Organic Cotton (RM0104)
Undyed fibers (PC0034) Other [Roving] (PD0100) -100.0% Organic Cotton (RM0104)
Undyed fibers (PC0034) Lint cotton (PD0074) -100.0% Organic Cotton (RM0104)"
AB COTTON TEXTILES PVT. LTD,,"India (IN), Punjab",Yarns,,,"NEAR SPORTKING FACTORY, 684 25-0,FARIDKOT ROAD, VILLAGE JEEDA, 151201, BATHINDA,",232225,,Intertek Testing Services,11/28/2024,
AB Mart Fashion Wear Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Ladieswear, Men's wear",,,"786, Kakil Sataish, Borodawra, 13/3, Purbopara, Mudafa, Tongi",CERES-1050,,Ceres,12/22/2024,Babies' accessories (PD0014)Babies' clothing (PD0013)Dresses / skirts (PD0011)Overcoats / jackets / vests (PD0001)Pants / trousers (PD0003)Shirts / blouses (PD0005)SweatersT-shirts / singlets (PD0007)cardigans (PD0004)pullovers
AB SCREENS,,"India (IN), Tamil Nadu",Fabrics,,,"D.NO / PLOT NO .SHED NO 7A ,7B,7C TEKIC,TEA NAGAR,SIDCO,MUDALIPALAYAM, 641606, TIRUPUR,",225919,,Intertek Testing Services,8/11/2024,Printed fabrics | PC0039
AB TUNISIE,,Tunisia (TN),Accessories,Omar LAMINE,mailto:info3@abtunisie.tn,"Km2 route de Beni Khaled, 8030, Grombalia",243011,,Ecocert Greenlife,10/21/2024,Interlining (PD0040)
ABA Fashions Limited,,"Bangladesh (BD), Dhaka","Ladieswear, Men's wear",Easin Mahmud,,"521/1 Gacha, Gazipur City Corporation,, 1704, Gazipur",GCL-3074,,GCL International,6/30/2024,"Men's Apparel (PC0001) Pantstrousers (PD0003) 100% Organic Cotton (RM0104)trousers (PD0003) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 81% Organic Cotton (RM0104) + 17% Recycled Pre/Post
Consumer Polyester (RM0187) + 2% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 81% Organic Cotton (RM0104) + 17% Recycled Pre/Post
Consumer Polyester (RM0187) + 2% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 82% Organic Cotton (RM0104) + 15% Recycled Pre/Post Consumer Polyester (RM0187) + 3% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 82% Organic Cotton (RM0104) + 15% Recycled Pre/Post Consumer Polyester (RM0187) + 3% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 92% Organic Cotton (RM0104) + 5% Elastomultiester (elasterell-P) (RM0164) + 3% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 92% Organic Cotton (RM0104) + 5% Elastomultiester (elasterell-P) (RM0164) + 3% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 93% Organic Cotton (RM0104) + 7% Elastomultiester
(elasterell-P) (RM0164)
Men's Apparel (PC0001) Pantstrousers (PD0003) 93% Organic Cotton (RM0104) + 7% Elastomultiester (elasterell-P) (RM0164) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 95% Organic Cotton (RM0104) + 3% Elastomultiester
(elasterell-P) (RM0164) + 2% Elastane (Spandex) (RM0160)
Women's Apparel (PC0002) Pantstrousers (PD0003) 95% Organic Cotton (RM0104) + 3% Elastomultiester (elasterell-P) (RM0164) + 2% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 96% Organic Cotton (RM0104) + 3% Elastomultiester
(elasterell-P) (RM0164) + 1% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 96% Organic Cotton (RM0104) + 3% Elastomultiester (elasterell-P) (RM0164) + 1% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantstrousers (PD0003) 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 99% Organic Cotton (RM0104) + 1% Elastane (Spandex) (RM0160)
Men's Apparel (PC0001) Pantstrousers (PD0003) 99% Organic Cotton (RM0104) + 1% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pants"
Aba Tekstil Orme San. Ve Tic. A.S.,,Turkey (TR),"Fabrics, Yarns",Nagihan Sahin,mailto:info@abatekstil.com.tr,"Yenibosna Merkez Mah. Prof. Dr. Nevzat Pisak Cad. No:14, Bahcelievler",CU 861283,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/26657?task=download_certificate,Control Union Certifications,9/30/2024,"Grey futter fabrics - 95% Organic Cotton + 5% Elastane
Grey interlock fabrics - 100% Organic Cotton"
ABANA (Mauritius) Ltd,,Mauritius (MU),Garments,Rehza Khan,mailto:rehzakhan@abana.mu,"Vel Industrial Complex, Royal Road - Mapou Leclezio, 30410, Goodlands",256216,,Ecocert Greenlife,3/30/2024,"Overcoatscardigans (PD0004)
Dressesjacketspulloversskirts (PD0011)trousers (PD0003)
Sweatersvests (PD0001)
Pants"
Abanti Colour Tex Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Fabrics, Garments, Ladieswear, Men's wear, Sportswear, Underwear, Socks",,,"Plot No-S,A-646, Shashongaon, Enyetnagar, Fatullah, 1400, Narayangonj",CERES-0515,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/22361?task=download_certificate,Ceres,12/15/2024,Babies' clothing (PD0013)Babies’ apparel (PC0003)Cardigans (PD0004)Children’s apparel (PC0004)Men’s apparel (PC0001)PantsPulloversSinglets (PD0007)SweatersT-ShirtsTrousers (PD0003)Women's apparel (PC0002)
ABARNA EXPORTS,,"India (IN), Tamil Nadu","Babywear, Children's wear, Fabrics, Ladieswear, Men's wear, Yarns, Accessories, Home Textiles",,,"SF.308, No. 3-110, Pattatharasi Amman Kovil, Opp. 2nd Street,, Amma Unavagagam Road, Athupalayam Tirupur Tamil Nadu India, 641652, Tirupur",192751-GOTS,,Intertek Testing Services,10/17/2024,"Pantsbed sheets 
Table linenbedspreadsblinds
Carpetscushions
Bagsfloor coverings
Pillowshandbagskitchen linennapkins
Towelspouches
Other (Aprons)
Knitted fabrics
Woven fabrics
Carded yarns
Normally combed yarnsquilts 
Curtainsrugssinglets
Dressesskirts
Babies' clothing
Bed linentableclothtoilet linen
Blanketstotestrousers
T-shirts"
ABC ITALIA SRL,,Italy (IT),Fabrics,Marzia Nicoli,,"Via Borgogna 7, 20122, Milano",1166203,,Control Union Certifications,9/28/2024,
ABC TEKSTIL SANAYI VE TICARET ANONIM SIRKETI,,Turkey (TR),"Fabrics, Home Textiles",,,"Pinarkent mahallesi Sahinler Kume Evler No:136 Pamukkale, 20170, Denizli",227709,,Intertek Testing Services,9/12/2024,Babies' accessoriesBed linenBlanketsTerry fabricsTowelsWoven fabricsbed sheetsbedspreadskitchen linenquiltstoilet linen
